organisatie_id,werksoort_id,vestiging_id,uitvoeringsvorm,betrouwbaarheid,bron_url
org001,assemblage,,,laag,https://www.afeer.nl/opdrachtgevers/
org001,verpakken,,,hoog,https://www.afeer.nl/opdrachtgevers/
org001,groenvoorziening-en-onderhoud,,,hoog,https://www.afeer.nl/opdrachtgevers/
org001,schoonmaak,,,hoog,https://www.afeer.nl/opdrachtgevers/
org001,klein-onderhoud-en-klusdiensten,,,hoog,https://www.afeer.nl/opdrachtgevers/
org001,naaiatelier-en-confectie,,,hoog,https://www.afeer.nl/opdrachtgevers/
org001,drukwerk-en-print,,,hoog,https://www.afeer.nl/opdrachtgevers/
org002,assemblage,,,hoog,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/verpakkenwerkt/
org002,montage,,,hoog,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/verpakkenwerkt/
org002,verpakken,,,hoog,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/verpakkenwerkt/
org002,co-packing,,,midden,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/
org002,productie-en-lijnwerk,,,hoog,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/verpakkenwerkt/
org002,groenvoorziening-en-onderhoud,,,hoog,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/groenwerkt/
org002,openbare-ruimte-en-straatreiniging,,,hoog,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/groenwerkt/
org002,schoonmaak,,,hoog,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/
org002,industriele-en-specialistische-reiniging,,,hoog,https://ammatch.nl/ik-wil-werk-uitbesteden-oud/groenwerkt/
org003,assemblage,,,hoog,https://www.amfors.nl/werk-uitbesteden/productie-en-verpakwerk/
org003,elektrotechnische-assemblage,,,hoog,https://www.amfors.nl/werk-uitbesteden/metaalbewerking-en-elektromontage/
org003,verpakken,,,hoog,https://www.amfors.nl/werk-uitbesteden/productie-en-verpakwerk/
org003,mailing-en-lettershop,,,laag,https://www.amfors.nl/werk-uitbesteden/productie-en-verpakwerk/
org003,metaalbewerking,,,hoog,https://www.amfors.nl/werk-uitbesteden/metaalbewerking-en-elektromontage/
org003,plaatwerk,,,midden,https://www.amfors.nl/werk-uitbesteden/metaalbewerking-en-elektromontage/elektromontage-assemblage-12-gesneden/
org003,lassen,,,hoog,https://www.amfors.nl/werk-uitbesteden/productie-en-verpakwerk/stephan-metafors-website/
org005,assemblage,,,hoog,https://www.avres.nl/assemblage-en-montage
org005,montage,,,hoog,https://www.avres.nl/assemblage-en-montage
org005,verpakken,,,hoog,https://www.avres.nl/werk-uitbesteden
org005,co-packing,,,midden,https://www.avres.nl/verpakken
org005,transport-en-koeriersdiensten,,,midden,https://www.avres.nl/werk-uitbesteden
org005,post-en-pakketbezorging,,,handmatig,https://www.avres.nl/werk-uitbesteden
org005,productie-en-lijnwerk,,beide,laag,https://www.avres.nl/voor-bedrijven
org005,groenvoorziening-en-onderhoud,,,hoog,https://www.avres.nl/groenvoorziening
org005,kwekerij-en-tuinbouw,,,hoog,https://www.avres.nl/werk-uitbesteden
org005,schoonmaak,,,hoog,https://www.avres.nl/werk-uitbesteden
org006,assemblage,,,hoog,https://baanbrekers.org/
org006,montage,,,hoog,https://baanbrekers.org/werk-uitbesteden/werkgeversadvies/social-return/
org006,verpakken,,,hoog,https://baanbrekers.org/
org006,groenvoorziening-en-onderhoud,,,hoog,https://baanbrekers.org/
org006,schoonmaak,,,hoog,https://baanbrekers.org/
org006,catering,,,hoog,https://baanbrekers.org/
org006,kringloop-en-hergebruik,,,hoog,https://baanbrekers.org/
org007,verpakken,,,hoog,https://www.bigagroep.nl/voor-werkgevers/
org007,mailing-en-lettershop,,,laag,https://www.bigagroep.nl/voor-werkgevers/
org007,magazijn-en-opslag,,,hoog,https://www.bigagroep.nl/voor-werkgevers/
org007,groenvoorziening-en-onderhoud,,,hoog,https://www.bigagroep.nl/
org007,schoonmaak,,,hoog,https://www.bigagroep.nl/
org008,assemblage,,,hoog,https://www.caparis.nl/alonsaanbod/montage
org008,montage,,,hoog,https://www.caparis.nl/
org008,elektrotechnische-assemblage,,,midden,https://www.caparis.nl/alonsaanbod/elektrotechniek
org008,verpakken,,,hoog,https://www.caparis.nl/
org008,co-packing,,,hoog,https://www.caparis.nl/alonsaanbod/verpakken-ompakken-flowpacken
org008,magazijn-en-opslag,,,hoog,https://www.caparis.nl/alonsaanbod/verpakken-ompakken-flowpacken
org008,post-en-pakketbezorging,,,hoog,https://www.caparis.nl/
org008,productie-en-lijnwerk,,,hoog,https://www.caparis.nl/diensten/werk-uitbesteden
org008,groenvoorziening-en-onderhoud,,,hoog,https://www.caparis.nl/alonsaanbod/verpakken-ompakken-flowpacken
org008,kwekerij-en-tuinbouw,,,hoog,https://www.caparis.nl/
org008,schoonmaak,,,hoog,https://www.caparis.nl/
org008,voedselbewerking,,,midden,https://www.caparis.nl/alonsaanbod/verpakken-ompakken-flowpacken
org010,assemblage,,,hoog,https://www.confed.eu/
org010,montage,,,hoog,https://www.confed.eu/diensten/mechanische-assemblage-modulebouw
org010,elektrotechnische-assemblage,,,hoog,https://www.confed.eu/
org010,magazijn-en-opslag,,,hoog,https://www.confed.eu/
org011,assemblage,,,hoog,https://dcw.nl/onze-diensten
org011,montage,,,hoog,https://dcw.nl/assembleren-verpakken
org011,verpakken,,,hoog,https://dcw.nl/onze-diensten
org011,co-packing,,,midden,https://dcw.nl/assembleren-verpakken
org011,groenvoorziening-en-onderhoud,,,hoog,https://dcw.nl/groen
org011,kwekerij-en-tuinbouw,,,hoog,https://dcw.nl/catering-dcw
org011,catering,,,hoog,https://dcw.nl/catering-dcw
org011,bedrijfsrestaurant-en-horeca,,,hoog,https://dcw.nl/catering-dcw
org012,assemblage,,,hoog,https://www.debetho.nl/bedrijven/uitbesteden
org012,montage,,,hoog,https://www.debetho.nl/
org012,verpakken,,,hoog,https://www.debetho.nl/
org012,co-packing,,,hoog,https://www.debetho.nl/werken/verpakkingsbedrijf
org012,magazijn-en-opslag,,,laag,https://www.debetho.nl/portfolio/skal-richtlijnen-bij-het-verpakken
org012,groenvoorziening-en-onderhoud,,,hoog,https://www.debetho.nl/bedrijven/uitbesteden
org012,openbare-ruimte-en-straatreiniging,,,midden,https://www.debetho.nl/werken/schoonmaakbedrijf
org012,schoonmaak,,,hoog,https://www.debetho.nl/
org012,receptie-en-gastvrijheid,,,midden,https://www.debetho.nl/bedrijven/uitbesteden
org012,bedrijfsrestaurant-en-horeca,,,midden,https://www.debetho.nl/bedrijven/uitbesteden
org013,montage,,,hoog,https://www.dezuidhoek.nl/schoonmaak/
org013,elektrotechnische-assemblage,,,laag,https://www.dezuidhoek.nl/portfolio-item/ompakken-geneesmiddelen/
org013,verpakken,,,hoog,https://www.dezuidhoek.nl/schoonmaak/
org013,metaalbewerking,,,hoog,https://www.dezuidhoek.nl/
org013,plaatwerk,,,hoog,https://www.dezuidhoek.nl/
org013,lassen,,,hoog,https://www.dezuidhoek.nl/
org013,groenvoorziening-en-onderhoud,,,hoog,https://www.dezuidhoek.nl/
org013,schoonmaak,,,hoog,https://www.dezuidhoek.nl/schoonmaak/
org013,glazenwassen,,,midden,https://www.dezuidhoek.nl/schoonmaak/
org013,klein-onderhoud-en-klusdiensten,,,hoog,https://www.dezuidhoek.nl/zuidhoek-van-start-met-bijzondere-klussendienst-bron-wereldregio/
org013,wasserij-en-linnenservice,,,hoog,https://www.dezuidhoek.nl/wasserij/
org014,assemblage,,,hoog,https://www.denhaag.nl/nl/ondernemen/den-haag-werkt/werk-uitbesteden/
org014,montage,,,hoog,https://www.denhaag.nl/nl/ondernemen/den-haag-werkt/werk-uitbesteden/
org014,verpakken,,,hoog,https://www.denhaag.nl/nl/ondernemen/den-haag-werkt/werk-uitbesteden/
org014,metaalbewerking,,,hoog,https://www.denhaag.nl/nl/ondernemen/den-haag-werkt/hout-en-metaalwerkplaats/
org014,plaatwerk,,,laag,https://www.denhaag.nl/nl/ondernemen/den-haag-werkt/hout-en-metaalwerkplaats/
org014,lassen,,,laag,https://www.denhaag.nl/nl/ondernemen/den-haag-werkt/hout-en-metaalwerkplaats/
org014,houtbewerking,,,hoog,https://www.denhaag.nl/nl/ondernemen/den-haag-werkt/hout-en-metaalwerkplaats/
