id,naam,slug,website,plaats,provincie,lat,lon,cedris_lid,crawl_modus,beschrijving,laatst_gecontroleerd
org001,Afeer,afeer,https://afeer.nl,Winschoten,Groningen,53.143,7.043,ja,volledig,"Afeer is een werkontwikkelbedrijf in Winschoten. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, groenonderhoud en schoonmaak, naast 3 andere werksoorten. Er zijn ook vestigingen in Blijham, Vlagtwedde en Oude Pekela.",2026-09-25
org002,AM Match,am-match,https://ammatch.nl,Hoofddorp,Noord-Holland,52.303,4.696,ja,volledig,"Werkontwikkelbedrijf AM Match (Hoofddorp) neemt werk over op het gebied van assemblage, verpakken, productiewerk en groenonderhoud, naast 5 andere werksoorten. Er is ook een vestiging in Uithoorn.",2026-09-25
org003,Amfors Groep,amfors-groep,https://amfors.nl,Amersfoort,Utrecht,52.156,5.387,ja,volledig,"Vanuit Amersfoort verzorgt Amfors Groep onder meer assemblage, elektrotechnische assemblage, verpakken en metaalbewerking voor opdrachtgevers in de regio, naast 3 andere werksoorten.",2026-09-25
org004,Amsterdam Werk en Re-integratie,amsterdam-werk-en-re-integratie,https://amsterdam.nl,Amsterdam,Noord-Holland,52.37,4.895,ja,overslaan,Amsterdam Werk en Re-integratie is onderdeel van de gemeente Amsterdam en is gevestigd in Amsterdam (Noord-Holland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org005,Avres,avres,https://avres.nl,Gorinchem,Zuid-Holland,51.834,4.975,ja,volledig,"Werkontwikkelbedrijf Avres (Gorinchem) neemt werk over op het gebied van assemblage, verpakken, transport en groenonderhoud, naast 6 andere werksoorten.",2026-09-25
org006,Baanbrekers,baanbrekers,https://baanbrekers.org,Waalwijk,Noord-Brabant,51.682,5.069,ja,volledig,"Vanuit Waalwijk verzorgt Baanbrekers onder meer assemblage, verpakken, groenonderhoud en schoonmaak voor opdrachtgevers in de regio, naast 3 andere werksoorten.",2026-09-25
org007,Biga Groep,biga-groep,https://bigagroep.nl,Zeist,Utrecht,52.088,5.233,ja,volledig,"Biga Groep is een werkontwikkelbedrijf in Zeist. Opdrachtgevers kunnen er terecht voor verpakken, magazijnwerk, groenonderhoud en schoonmaak, naast één andere werksoort.",2026-09-25
org008,Caparis,caparis,https://caparis.nl,Drachten,Friesland,53.112,6.099,ja,volledig,"Werkontwikkelbedrijf Caparis (Drachten) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en groenonderhoud, naast 8 andere werksoorten. Er zijn ook vestigingen in Leeuwarden en Heerenveen.",2026-09-25
org009,Concern voor Werk,concern-voor-werk,https://concernvoorwerk.nl,Emmeloord,Flevoland,52.718,5.749,ja,volledig,Concern voor Werk is een werkontwikkelbedrijf met de hoofdvestiging in Emmeloord (Flevoland). De werksoorten voor opdrachtgevers zijn nog niet in kaart gebracht.,2026-09-25
org010,Confed,confed,https://confed.eu,Amersfoort,Utrecht,52.156,5.387,ja,volledig,"Confed is een werkontwikkelbedrijf in Amersfoort. Opdrachtgevers kunnen er terecht voor assemblage, montagewerk, elektrotechnische assemblage en magazijnwerk. Er is ook een vestiging in Dordrecht.",2026-09-25
org011,DCW,dcw,https://dcw.nl,Enschede,Overijssel,52.219,6.892,ja,volledig,"Werkontwikkelbedrijf DCW (Enschede) neemt werk over op het gebied van assemblage, verpakken, groenonderhoud en catering, naast 4 andere werksoorten.",2026-09-25
org012,De Betho,de-betho,https://www.debetho.nl,Goes,Zeeland,51.504,3.889,ja,volledig,"Vanuit Goes verzorgt De Betho onder meer assemblage, verpakken, magazijnwerk en groenonderhoud voor opdrachtgevers in de regio, naast 6 andere werksoorten.",2026-09-25
org013,De Zuidhoek,de-zuidhoek,https://dezuidhoek.nl,Zierikzee,Zeeland,51.65,3.918,ja,volledig,"De Zuidhoek is een werkontwikkelbedrijf in Zierikzee. Opdrachtgevers kunnen er terecht voor montagewerk, verpakken, metaalbewerking en groenonderhoud, naast 7 andere werksoorten.",2026-09-25
org014,Den Haag Werkt,den-haag-werkt,https://www.denhaag.nl/nl/ondernemen/den-haag-werkt,Den Haag,Zuid-Holland,52.07,4.3,ja,pad,"Werkontwikkelbedrijf Den Haag Werkt (Den Haag) neemt werk over op het gebied van assemblage, verpakken, metaalbewerking en houtbewerking, naast 5 andere werksoorten.",2026-09-25
org015,Dethon,dethon,https://dethon.nl,Terneuzen,Zeeland,51.336,3.83,ja,volledig,"Vanuit Terneuzen verzorgt Dethon onder meer assemblage, verpakken, magazijnwerk en metaalbewerking voor opdrachtgevers in de regio, naast 7 andere werksoorten. Er zijn ook vestigingen in Oostburg en Hulst.",2026-09-25
org016,Diamant-groep,diamant-groep,https://diamant-groep.nl,Tilburg,Noord-Brabant,51.556,5.091,ja,volledig,"Diamant-groep is een werkontwikkelbedrijf in Tilburg. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, postbezorging en groenonderhoud, naast 6 andere werksoorten.",2026-09-25
org017,Dokwurk,dokwurk,https://dokwurk.nl,Dokkum,Friesland,53.325,5.999,ja,volledig,"Werkontwikkelbedrijf Dokwurk (Dokkum) neemt werk over op het gebied van assemblage, verpakken, houtbewerking en groenonderhoud, naast 3 andere werksoorten.",2026-09-25
org018,Doon,doon,https://doon-roermond.nl,Roermond,Limburg,51.193,5.987,ja,volledig,"Vanuit Roermond verzorgt Doon onder meer assemblage, montagewerk, verpakken en een wasserij voor opdrachtgevers in de regio.",2026-09-25
org019,DZB Leiden,dzb-leiden,https://dzb.nl,Leiden,Zuid-Holland,52.16,4.497,ja,volledig,"DZB Leiden is een werkontwikkelbedrijf in Leiden. Opdrachtgevers kunnen er terecht voor montagewerk, verpakken, magazijnwerk en houtbewerking, naast 13 andere werksoorten.",2026-09-25
org020,EMCO-groep,emco-groep,https://emco-groep.nl,Emmen,Drenthe,52.788,6.897,ja,volledig,"Werkontwikkelbedrijf EMCO-groep (Emmen) neemt werk over op het gebied van assemblage, verpakken, magazijnwerk en metaalbewerking, naast 16 andere werksoorten. Er is ook een vestiging in Coevorden.",2026-09-25
org021,Empatec,empatec,https://empatec.nl,Sneek,Friesland,53.033,5.66,ja,volledig,"Vanuit Sneek verzorgt Empatec onder meer assemblage, verpakken, magazijnwerk en metaalbewerking voor opdrachtgevers in de regio, naast 12 andere werksoorten.",2026-09-25
org022,Ergon,ergon,https://ergon.nl,Eindhoven,Noord-Brabant,51.44,5.48,ja,volledig,"Ergon is een werkontwikkelbedrijf in Eindhoven. Opdrachtgevers kunnen er terecht voor assemblage, verpakken, magazijnwerk en groenonderhoud, naast 13 andere werksoorten. Er zijn ook vestigingen in Veldhoven en Geldrop.",2026-09-25
