id,organisatie_id,naam,adres,postcode,plaats,provincie,lat,lon,hoofdvestiging,bron
ves001a,org001,Afeer,A.J. Romijnweg 17,9672 AH,Winschoten,Groningen,53.13425,7.04845,ja,https://www.afeer.nl/contact/
ves001b,org001,Afeer,Winschoter Hogebrug 1,9697 XB,Blijham,Groningen,53.12895,7.05128,nee,https://www.afeer.nl/contact/
ves001c,org001,Afeer,Spetsebrugweg 1b,9541 XV,Vlagtwedde,Groningen,53.03899,7.11741,nee,https://www.afeer.nl/contact/
ves001d,org001,Afeer,H. Hindersstraat 54,9665 RC,Oude Pekela,Groningen,53.09324,6.99034,nee,https://www.afeer.nl/contact/
ves002a,org002,AM Match,Wijkermeerstraat 36,2131 HA,Hoofddorp,Noord-Holland,52.31189,4.69616,ja,https://ammatch.nl/contact/
ves002b,org002,AM Match,Industrieweg 13A,1422 AH,Uithoorn,Noord-Holland,52.23895,4.83076,nee,https://ammatch.nl/contact/
ves003a,org003,Amfors Groep,Heliumweg 7,3812 RD,Amersfoort,Utrecht,52.16920,5.35347,ja,https://www.amfors.nl/werk-uitbesteden/metaalbewerking-en-elektromontage/
ves003b,org003,Amfors Groep,Uraniumweg 15,3812 RJ,Amersfoort,Utrecht,52.16670,5.35801,nee,https://www.amfors.nl/werk-uitbesteden/productie-en-verpakwerk/
ves004a,org004,Amsterdam Werk en Re-integratie,,,Amsterdam,Noord-Holland,52.37,4.895,ja,sheet Werkkracht Data Leden
ves005a,org005,Avres,,,Gorinchem,Zuid-Holland,51.834,4.975,ja,sheet Werkkracht Data Leden
ves006a,org006,Baanbrekers,,,Waalwijk,Noord-Brabant,51.682,5.069,ja,sheet Werkkracht Data Leden
ves006b,org006,Baanbrekers,Zanddonkweg 14,5144 NX,Waalwijk,Noord-Brabant,51.68007,5.05841,nee,https://baanbrekers.org/kringloop/
ves007a,org007,Biga Groep,Thorbeckelaan 3,3705 KJ,Zeist,Utrecht,52.10108,5.23577,ja,https://www.bigagroep.nl/contact/
ves008a,org008,Caparis,Ampèrelaan 2,9207 AM,Drachten,Friesland,53.10869,6.13475,ja,https://www.caparis.nl/contact
ves008b,org008,Caparis,Dukaat 2,9207 MB,Drachten,Friesland,53.12850,6.07418,nee,https://www.caparis.nl/locaties
ves008c,org008,Caparis,Orionweg 2,8938 AH,Leeuwarden,Friesland,53.20000,5.84467,nee,https://www.caparis.nl/locaties
ves008d,org008,Caparis,Industrieweg 13,8444 AS,Heerenveen,Friesland,52.93173,5.95329,nee,https://www.caparis.nl/locaties
ves009a,org009,Concern voor Werk,,,Emmeloord,Flevoland,52.718,5.749,ja,sheet Werkkracht Data Leden
ves010a,org010,Confed,Databankweg 22,3821 AL,Amersfoort,Utrecht,52.18132,5.41802,ja,https://www.confed.eu/neem-contact-op-met-confed-voor-vragen-of-algemene-informatie
ves010b,org010,Confed,Calandstraat 17,3316 EA,Dordrecht,Zuid-Holland,51.77888,4.64836,nee,https://www.confed.eu/neem-contact-op-met-confed-voor-vragen-of-algemene-informatie
ves011a,org011,DCW,Spoordijkstraat 132,7521 CB,Enschede,Overijssel,52.22228,6.86996,ja,https://dcw.nl/contact
ves011b,org011,DCW,Blijdensteinbleekweg 30,7524 DD,Enschede,Overijssel,52.24186,6.90700,nee,https://dcw.nl/contact
ves012a,org012,De Betho,,,Goes,Zeeland,51.504,3.889,ja,sheet Werkkracht Data Leden
ves013a,org013,De Zuidhoek,Deltastraat 8,4301 RC,Zierikzee,Zeeland,51.64506,3.92163,ja,https://www.dezuidhoek.nl/
ves014a,org014,Den Haag Werkt,,,Den Haag,Zuid-Holland,52.07,4.3,ja,sheet Werkkracht Data Leden
ves015a,org015,Dethon,Mr. F.J. Haarmanweg 33,4538 AN,Terneuzen,Zeeland,51.31897,3.83618,ja,https://www.dethon.nl/montage-en-verpakking/contact/
ves015b,org015,Dethon,Industrieweg 2,4501 PM,Oostburg,Zeeland,51.33237,3.49913,nee,https://www.dethon.nl/montage-en-verpakking/contact/
ves015c,org015,Dethon,Industrieweg 10,4561 GH,Hulst,Zeeland,51.27261,4.04720,nee,https://www.dethon.nl/montage-en-verpakking/contact/
ves016a,org016,Diamant-groep,Zevenheuvelenweg 14,5048 AN,Tilburg,Noord-Brabant,51.58425,5.06202,ja,https://diamant-groep.nl/over-ons/contact/
ves017a,org017,Dokwurk,Hendoweg 26,9101 PC,Dokkum,Friesland,53.32650,5.97411,ja,https://dokwurk.nl/contact/
ves018a,org018,Doon,De Hanze 1,6041 PA,Roermond,Limburg,51.17257,5.97423,ja,https://doon-roermond.nl/contact
ves019a,org019,DZB Leiden,,,Leiden,Zuid-Holland,52.16,4.497,ja,sheet Werkkracht Data Leden
ves020a,org020,EMCO-groep,Abel Tasmanstraat 7,7821 AN,Emmen,Drenthe,52.75780,6.91588,ja,https://emco-groep.nl/contact
ves020b,org020,EMCO-groep,Monierweg 12,7741 KT,Coevorden,Drenthe,52.65568,6.73045,nee,https://emco-groep.nl/contact
ves020c,org020,EMCO-groep,Brinkenhalte 30,7812 HX,Emmen,Drenthe,52.75357,6.88210,nee,https://emco-groep.nl/contact
ves021a,org021,Empatec,,,Sneek,Friesland,53.033,5.66,ja,sheet Werkkracht Data Leden
ves022a,org022,Ergon,Rooijakkersstraat 3,5652 BA,Eindhoven,Noord-Brabant,51.42913,5.44367,ja,https://ergon.nl/contact/
ves022b,org022,Ergon,Rooijakkersstraat 2B,5652 BB,Eindhoven,Noord-Brabant,51.42955,5.44435,nee,https://ergon.nl/contact/
ves022c,org022,Ergon,Bokt 14A,5633 BG,Eindhoven,Noord-Brabant,51.49100,5.50080,nee,https://ergon.nl/contact/
ves022d,org022,Ergon,Achtseweg Noord 62,5651 GG,Eindhoven,Noord-Brabant,51.46878,5.42972,nee,https://ergon.nl/contact/
ves022e,org022,Ergon,De Run 5127,5503 LV,Veldhoven,Noord-Brabant,51.41162,5.41993,nee,https://ergon.nl/contact/
ves022f,org022,Ergon,de Hooge Akker 2,5661 NG,Geldrop,Noord-Brabant,51.42767,5.53279,nee,https://ergon.nl/contact/
ves023a,org023,Ferm Werk,Carrosserieweg 1,3445 BC,Woerden,Utrecht,52.09321,4.91176,ja,https://www.fermwerk.nl/contact
ves024a,org024,Fijnder,Batterij 12,7141 JL,Groenlo,Gelderland,52.05848,6.62723,ja,https://www.fijnder.nl/contact
ves025a,org025,Gelre Werkt!,,,Zutphen,Gelderland,52.138,6.197,ja,sheet Werkkracht Data Leden
ves026a,org026,Gemeente Ameland,,,Ballum,Friesland,53.448,5.53,ja,sheet Werkkracht Data Leden
ves027a,org027,Gemeente Breda,,,Breda,Noord-Brabant,51.589,4.775,ja,sheet Werkkracht Data Leden
ves028a,org028,Gemeente Hellendoorn/Stichting Noest,,,Nijverdal,Overijssel,52.364,6.459,ja,sheet Werkkracht Data Leden
ves029a,org029,Gemeente Noordenveld,,,Roden,Drenthe,53.138,6.428,ja,sheet Werkkracht Data Leden
ves030a,org030,Gemeente Weststellingwerf,,,Wolvega,Friesland,52.877,5.981,ja,sheet Werkkracht Data Leden
ves031a,org031,GOwerkt,Pascal 40,3241 MB,Middelharnis,Zuid-Holland,51.76456,4.18905,ja,https://www.goeree-overflakkee.nl/gowerkt
ves032a,org032,Drechtwerk,Snelliusstraat 10,3316 GV,Dordrecht,Zuid-Holland,51.78160,4.64033,ja,https://drechtwerk.nl/contact/
ves032b,org032,Drechtwerk,Kamerlingh Onnesweg 1,3316 GK,Dordrecht,Zuid-Holland,51.78053,4.64012,nee,https://drechtwerk.nl/contact/
ves032c,org032,Drechtwerk,Pieter Zeemanweg 20,3316 GZ,Dordrecht,Zuid-Holland,51.77643,4.64237,nee,https://drechtwerk.nl/contact/
ves032d,org032,Drechtwerk,Leeghwaterstraat 33,3364 AE,Sliedrecht,Zuid-Holland,51.82888,4.77073,nee,https://drechtwerk.nl/contact/
ves033a,org033,HW Werkt!,Jan van der Heijdenstraat 11,3261 LE,Oud-Beijerland,Zuid-Holland,51.82718,4.43102,ja,https://www.hwwerkt.nl:443
ves034a,org034,IBN,,,Uden,Noord-Brabant,51.66,5.618,ja,sheet Werkkracht Data Leden
ves035a,org035,iederz,Silkeborgweg 2,9723 AL,Groningen,Groningen,53.20459,6.60418,ja,https://www.iederz.nl/contactgegevens/
ves036a,org036,IJmond Werkt!,De Trompet 1300,1967 DA,Heemskerk,Noord-Holland,52.50643,4.69790,ja,https://www.ijmondwerkt.com/contact-locaties-en-informatie/
ves036b,org036,IJmond Werkt!,Stationsplein 48A,1948 LC,Beverwijk,Noord-Holland,52.47809,4.65421,nee,https://www.ijmondwerkt.com/
ves036c,org036,IJmond Werkt!,Kuikensweg 84A,1945 EP,Beverwijk,Noord-Holland,52.49747,4.65735,nee,https://www.ijmondwerkt.com/contact-locaties-en-informatie/
ves036d,org036,IJmond Werkt!,Molenwerf 11,1911 DB,Uitgeest,Noord-Holland,52.53168,4.72015,nee,https://www.ijmondwerkt.com/contact-locaties-en-informatie/
ves037a,org037,Impact,Gildestraat 1,8263 AH,Kampen,Overijssel,52.56393,5.88973,ja,https://impact.nl/
ves037b,org037,Impact,De Boorn 15,8253 RA,Dronten,Flevoland,52.54247,5.71470,nee,https://www.impact.nl/contact
ves038a,org038,Inclusief Groep,Industrieweg 47,8071 CS,Nunspeet,Gelderland,52.36957,5.77373,ja,https://www.inclusiefgroep.nl/
ves038b,org038,Inclusief Groep,Paul Krugerweg 43,3851 ZH,Ermelo,Gelderland,52.28989,5.62338,nee,https://www.inclusiefgroep.nl/contact/
ves038c,org038,Inclusief Groep,Gelreweg 4B,3843 AN,Harderwijk,Gelderland,52.33728,5.62907,nee,https://www.inclusiefgroep.nl/contact/
ves038d,org038,Inclusief Groep,Eerste Kruishaarseweg 2,3862 RT,Nijkerk,Gelderland,52.21385,5.53621,nee,https://www.inclusiefgroep.nl/contact/
